"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Almería";"Bayárcal";303;-2.99;37.03;"País Vasco/Euskadi"
"Almería";"Bayarque";215;-2.43;37.33;"País Vasco/Euskadi"
"Almería";"Bédar";892;-1.98;37.19;"País Vasco/Euskadi"
"Almería";"Beires";110;-2.79;37.01;"País Vasco/Euskadi"
"Almería";"Benahadux";4212;-2.45;36.92;"País Vasco/Euskadi"
"Almería";"Benitagla";66;-2.23;37.23;"País Vasco/Euskadi"
"Almería";"Benizalón";263;-2.24;37.21;"País Vasco/Euskadi"
"Almería";"Bentarique";238;-2.61;36.98;"País Vasco/Euskadi"
"Almería";"Berja";12331;-2.94;36.84;"País Vasco/Euskadi"
"Almería";"Canjáyar";1223;-2.73;37.01;"País Vasco/Euskadi"
"Almería";"Cantoria";3251;-2.19;37.35;"País Vasco/Euskadi"
"Almería";"Carboneras";7837;-1.89;36.99;"País Vasco/Euskadi"
"Almería";"Castro de Filabres";130;-2.43;37.18;"País Vasco/Euskadi"
"Almería";"Cóbdar";156;-2.21;37.26;"País Vasco/Euskadi"
"Almería";"Cuevas del Almanzora";13655;-1.87;37.29;"País Vasco/Euskadi"
"Almería";"Chercos";291;-2.26;37.25;"País Vasco/Euskadi"
"Almería";"Chirivel";1568;-2.26;37.59;"País Vasco/Euskadi"
"Almería";"Dalías";3986;-2.87;36.82;"País Vasco/Euskadi"
"Almería";"Enix";434;-2.6;36.87;"País Vasco/Euskadi"
"Almería";"Felix";661;-2.65;36.86;"País Vasco/Euskadi"
"Almería";"Fines";2048;-2.26;37.35;"País Vasco/Euskadi"
"Almería";"Fiñana";2014;-2.84;37.17;"País Vasco/Euskadi"
"Almería";"Fondón";1002;-2.85;36.97;"País Vasco/Euskadi"
"Almería";"Gádor";3037;-2.49;36.95;"País Vasco/Euskadi"
"Almería";"Los Gallardos";2841;-1.94;37.17;"País Vasco/Euskadi"
"Almería";"Garrucha";8666;-1.82;37.17;"País Vasco/Euskadi"
